doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
course-reserve,data/vinuni-library/course-reserve.md,Đề nghị tài liệu dự trữ cho học phần,https://library.vinuni.edu.vn/course-reserve/,2026-09-19,not-stated,public-source; paraphrased-study-note
faculty-borrowing,data/vinuni-library/faculty-borrowing.md,Mượn sách cho giảng viên VinUni,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-09-19,POL-LLR-001-V4.0 (2025-07-09),public-source; paraphrased-study-note
hours-access,data/vinuni-library/hours-access.md,Giờ hoạt động và khu học tập 24/7,https://library.vinuni.edu.vn/about-us/hours-and-access/,2026-09-19,not-stated,public-source; paraphrased-study-note
room-booking,data/vinuni-library/room-booking.md,Đặt phòng học nhóm,https://library.vinuni.edu.vn/room-booking/,2026-09-19,not-stated,public-source; paraphrased-study-note
student-borrowing,data/vinuni-library/student-borrowing.md,Mượn sách cho sinh viên đại học,https://library.vinuni.edu.vn/services/borrow-and-request/undergraduate-and-staff/,2026-09-19,not-stated,public-source; paraphrased-study-note
