doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
ktx-gia-han-2026-2027,data/uit-vnuhcm/ktx-gia-han-2026-2027.md,KTX ĐHQG-HCM - Gia hạn nội trú 2026-2027,https://huongdan.ktxhcm.edu.vn/huong-dan/huong-dan-sinh-vien-dang-noi-tru-thuc-hien-gia-han,2026-09-19,Hướng dẫn gia hạn 2026-2027; dẫn Thông báo 505 ngày 2026-07-22,public-source; paraphrased-study-note
uit-dang-ky-hoc-phan,data/uit-vnuhcm/uit-dang-ky-hoc-phan.md,UIT - Đăng ký học phần,https://daa.uit.edu.vn/mot-so-quy-trinh-danh-cho-sinh-vien,2026-09-19,not-stated,public-source; paraphrased-study-note
uit-hoc-bong-global-2026,data/uit-vnuhcm/uit-hoc-bong-global-2026.md,UIT - Học bổng ngoại ngữ Global 2026,https://ctsv.uit.edu.vn/bai-viet/thong-bao-trien-khai-hoc-bong-uit-global-tu-hoc-ky-1-nam-hoc-2026-2027,2026-09-19,803/QĐ-ĐHCNTT (2026-07-07),public-source; paraphrased-study-note
uit-hoc-phi-he-2025-2026,data/uit-vnuhcm/uit-hoc-phi-he-2025-2026.md,UIT - Học phí học kỳ hè 2025-2026,https://khtc.uit.edu.vn/content/2025-2026-thong-bao-thu-hoc-phi-hoc-ky-he-nh-2025-2026,2026-09-19,Thông báo ngày 2026-07-21,public-source; paraphrased-study-note
uit-phuc-khao-giang-vien,data/uit-vnuhcm/uit-phuc-khao-giang-vien.md,UIT - Chấm phúc khảo của giảng viên,https://daa.uit.edu.vn/content/quy-trinh-danh-cho-can-bo-giang-day,2026-09-19,not-stated,public-source; paraphrased-study-note
uit-phuc-khao-sinh-vien,data/uit-vnuhcm/uit-phuc-khao-sinh-vien.md,UIT - Phúc khảo dành cho sinh viên,https://daa.uit.edu.vn/mot-so-quy-trinh-danh-cho-sinh-vien,2026-09-19,not-stated,public-source; paraphrased-study-note
vnulib-muon-tra,data/uit-vnuhcm/vnulib-muon-tra.md,TVTT ĐHQG-HCM - Mượn trả tài liệu,https://www.vnulib.edu.vn/index.php/muon-tra-tai-lieu-tvtt,2026-09-19,not-stated,public-source; paraphrased-study-note
